    | Name                                                 | Type             | Params
188 | model.cm_clf.DANSwan_blocks.8.norm                   | Identity         | 0
189 | model.cm_clf.DANSwan_blocks.8.column_transform       | Mlp              | 88.9 K
190 | model.cm_clf.DANSwan_blocks.8.column_transform.fc1   | Linear           | 44.5 K
191 | model.cm_clf.DANSwan_blocks.8.column_transform.act   | GELU             | 0
192 | model.cm_clf.DANSwan_blocks.8.column_transform.fc2   | Linear           | 44.4 K
193 | model.cm_clf.DANSwan_blocks.8.column_transform.drop  | Dropout          | 0
194 | model.cm_clf.DANSwan_blocks.8.dropout                | Dropout          | 0
195 | model.cm_clf.DANSwan_blocks.8.shift                  | CircularShift    | 0
196 | model.cm_clf.DANSwan_blocks.9                        | DANSwanBlock     | 88.9 K
197 | model.cm_clf.DANSwan_blocks.9.prenorm                | Identity         | 0
198 | model.cm_clf.DANSwan_blocks.9.norm                   | Identity         | 0
199 | model.cm_clf.DANSwan_blocks.9.column_transform       | Mlp              | 88.9 K
200 | model.cm_clf.DANSwan_blocks.9.column_transform.fc1   | Linear           | 44.5 K
201 | model.cm_clf.DANSwan_blocks.9.column_transform.act   | GELU             | 0
202 | model.cm_clf.DANSwan_blocks.9.column_transform.fc2   | Linear           | 44.4 K
203 | model.cm_clf.DANSwan_blocks.9.column_transform.drop  | Dropout          | 0
204 | model.cm_clf.DANSwan_blocks.9.dropout                | Dropout          | 0
205 | model.cm_clf.DANSwan_blocks.9.shift                  | CircularShift    | 0
206 | model.decoder                                        | Linear           | 290
207 | loss                                                 | CrossEntropyLoss | 0
208 | train_acc                                            | BinaryAccuracy   | 0
209 | val_acc                                              | BinaryAccuracy   | 0
--------------------------------------------------------------------------------------------
889 K     Trainable params
741 K     Non-trainable params
1.6 M     Total params
6.524     Total estimated model params size (MB)
/cluster/home/tonyu/.conda/envs/monica/lib/python3.9/site-packages/lightning_fabric/plugins/environments/slurm.py:166: PossibleUserWarning: The `srun` command is available on your system but is not used. HINT: If your intention is to run Lightning on SLURM, prepend your python command with `srun` like so: srun python3 genomic_classification.py ...
  rank_zero_warn(
Using 16bit None Automatic Mixed Precision (AMP)
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
IPU available: False, using: 0 IPUs
HPU available: False, using: 0 HPUs
